Date,Price,Open,High,Low,Change %
2021-11-28,1.1313,1.1309,1.1384,1.1236,-0.04
2021-12-05,1.1311,1.1321,1.1356,1.1228,-0.02
2021-12-12,1.1239,1.1316,1.1361,1.1221,-0.64
2021-12-19,1.1317,1.1242,1.1344,1.1234,0.69
2021-12-26,1.1368,1.1318,1.1387,1.1273,0.45
2022-01-02,1.1359,1.1365,1.1381,1.1272,-0.08
2022-01-09,1.1414,1.1353,1.1484,1.1285,0.48
2022-01-16,1.134,1.1414,1.1436,1.13,-0.65
2022-01-23,1.1143,1.1343,1.1346,1.1121,-1.74
2022-01-30,1.1446,1.1147,1.1485,1.1138,2.72
2022-02-06,1.1349,1.1468,1.1496,1.1329,-0.85
2022-02-13,1.1321,1.1344,1.1396,1.1279,-0.25
2022-02-20,1.1267,1.1315,1.1391,1.1106,-0.48
2022-02-27,1.0926,1.1179,1.1247,1.0886,-3.03
2022-03-06,1.0909,1.0953,1.1121,1.0805,-0.16
2022-03-13,1.1055,1.0943,1.1138,1.09,1.34
2022-03-20,1.0981,1.1059,1.107,1.096,-0.67
2022-03-27,1.1053,1.0989,1.1185,1.0944,0.66
2022-04-03,1.0876,1.1039,1.1056,1.0836,-1.6
2022-04-10,1.0806,1.0935,1.0951,1.0757,-0.64
2022-04-17,1.0794,1.0805,1.0937,1.0761,-0.11
2022-04-24,1.0541,1.0841,1.0842,1.0471,-2.34
2022-05-01,1.0551,1.055,1.0642,1.0482,0.09
2022-05-08,1.0411,1.0552,1.0594,1.035,-1.33
2022-05-15,1.056,1.0405,1.0608,1.0388,1.43
2022-05-22,1.0727,1.0572,1.0766,1.0558,1.58
2022-05-29,1.0718,1.0737,1.0788,1.0626,-0.08
2022-06-05,1.0515,1.0722,1.0775,1.0505,-1.89
2022-06-12,1.0498,1.0513,1.0602,1.0359,-0.16
2022-06-19,1.0554,1.0472,1.0606,1.0468,0.53
2022-06-26,1.0428,1.0555,1.0616,1.0366,-1.19
2022-07-03,1.0183,1.0424,1.0464,1.0072,-2.35
2022-07-10,1.0087,1.0173,1.0185,0.9952,-0.94
2022-07-17,1.021,1.0085,1.0279,1.0078,1.22
2022-07-24,1.0218,1.0212,1.0259,1.0096,0.08
2022-07-31,1.0181,1.0218,1.0295,1.0122,-0.36
2022-08-07,1.0258,1.0179,1.0369,1.0158,0.76
2022-08-14,1.0034,1.0263,1.027,1.0031,-2.18
2022-08-21,0.9961,1.0041,1.0091,0.99,-0.73
2022-08-28,0.9951,0.9977,1.0079,0.9911,-0.1
2022-09-04,1.0039,0.995,1.0114,0.9863,0.88
